日期维度,业务大类,业务,产品,城市,金额区间,交易笔数,交易金额
2025/1/8,惠居,省心租,快捷,西安,d 5000-10000,1,7776
2025/1/8,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,3,21336
2025/1/8,惠居,省心租,支付宝APP,西安,e 10000-20000,1,11220
2025/1/8,惠居,省心租,微信小程序,西安,e 10000-20000,3,39528
2025/1/9,惠居,省心租,支付宝APP,西安,a <500,2,470
2025/1/9,惠居,省心租,贝易转网银转账收款,西安,a <500,1,2
2025/1/9,惠居,省心租,微信小程序,西安,b 500-1000,8,5273
2025/1/9,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,600
2025/1/9,惠居,省心租,支付宝APP,西安,b 500-1000,10,7484
2025/1/9,惠居,省心租,微信小程序,西安,c 1000-5000,259,548449.57
2025/1/9,惠居,省心租,支付宝APP,西安,c 1000-5000,217,453027.69
2025/1/9,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,11,26683.8
2025/1/9,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,16,37514.5
2025/1/9,惠居,省心租,云闪付小程序,西安,c 1000-5000,2,4489
2025/1/9,惠居,省心租,快捷,西安,c 1000-5000,5,8184
2025/1/9,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,14,32289.5
2025/1/9,惠居,省心租,微信小程序,西安,d 5000-10000,22,163251.4
2025/1/9,惠居,省心租,快捷,西安,d 5000-10000,1,9000
2025/1/9,惠居,省心租,支付宝APP,西安,d 5000-10000,30,211911.8
2025/1/9,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,3,23076
2025/1/9,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,3,17058
2025/1/9,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,1,8100
2025/1/9,惠居,省心租,微信小程序,西安,e 10000-20000,1,10923
2025/1/9,惠居,省心租,支付宝APP,西安,e 10000-20000,4,43534.5
2025/1/10,惠居,省心租,微信小程序,西安,a <500,4,812.5
2025/1/10,惠居,省心租,贝易转网银转账收款,西安,a <500,4,15
2025/1/10,惠居,省心租,支付宝APP,西安,a <500,3,558.2
2025/1/10,惠居,省心租,微信小程序,西安,b 500-1000,17,11408
2025/1/10,惠居,省心租,支付宝APP,西安,b 500-1000,7,4972
2025/1/10,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,500
2025/1/10,惠居,省心租,支付宝花呗分期,西安,b 500-1000,1,700
2025/1/10,惠居,省心租,微信小程序,西安,c 1000-5000,376,772058.93
2025/1/10,惠居,省心租,聚分期,西安,c 1000-5000,1,2585
2025/1/10,惠居,省心租,支付宝APP,西安,c 1000-5000,333,695837.05
2025/1/10,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,8467.8
2025/1/10,惠居,省心租,快捷,西安,c 1000-5000,8,16144.37
2025/1/10,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,24,51820.5
2025/1/10,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,18,37812.9
2025/1/10,惠居,省心租,云闪付小程序,西安,c 1000-5000,5,10985
2025/1/10,惠居,省心租,银联线上支付,西安,c 1000-5000,1,1100
2025/1/10,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,8,51237.9
2025/1/10,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,6,43928
2025/1/10,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,2,15563.73
2025/1/10,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,5101.2
2025/1/10,惠居,省心租,支付宝APP,西安,d 5000-10000,40,272918.73
2025/1/10,惠居,省心租,微信小程序,西安,d 5000-10000,40,284407.04
2025/1/10,惠居,省心租,微信小程序,西安,e 10000-20000,2,27864
2025/1/10,惠居,省心租,支付宝APP,西安,e 10000-20000,3,32563.5
2025/1/10,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,1,14580
2025/1/11,惠居,省心租,贝易转网银转账收款,西安,a <500,2,9
2025/1/11,惠居,省心租,支付宝APP,西安,a <500,2,215
2025/1/11,惠居,省心租,微信小程序,西安,a <500,3,772
2025/1/11,惠居,省心租,支付宝APP,西安,b 500-1000,9,6581
2025/1/11,惠居,省心租,微信小程序,西安,b 500-1000,20,14213
2025/1/11,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,7777
2025/1/11,惠居,省心租,支付宝APP,西安,c 1000-5000,213,460494.18
2025/1/11,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,14,30718.9
2025/1/11,惠居,省心租,微信小程序,西安,c 1000-5000,297,611360.98
2025/1/11,惠居,省心租,云闪付小程序,西安,c 1000-5000,6,12452
2025/1/11,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,20,42717
2025/1/11,惠居,省心租,聚分期,西安,c 1000-5000,2,3410
2025/1/11,惠居,省心租,快捷,西安,c 1000-5000,3,5783
2025/1/11,惠居,省心租,快捷,西安,d 5000-10000,1,9299.4
2025/1/11,惠居,省心租,微信小程序,西安,d 5000-10000,27,190378.32
2025/1/11,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,4,31824
2025/1/11,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,1,7194
2025/1/11,惠居,省心租,支付宝APP,西安,d 5000-10000,22,156353.62
2025/1/11,惠居,省心租,微信小程序,西安,e 10000-20000,3,31296
2025/1/12,惠居,省心租,微信小程序,西安,a <500,1,154
2025/1/12,惠居,省心租,贝易转网银转账收款,西安,a <500,5,14
2025/1/12,惠居,省心租,贝易转直联收款至银行,西安,a <500,1,310
2025/1/12,惠居,省心租,支付宝APP,西安,a <500,2,86.02
2025/1/12,惠居,省心租,支付宝APP,西安,b 500-1000,5,3730
2025/1/12,惠居,省心租,微信小程序,西安,b 500-1000,12,8011.33
2025/1/12,惠居,省心租,聚分期,西安,c 1000-5000,2,3795
2025/1/12,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,15,28546
2025/1/12,惠居,省心租,微信小程序,西安,c 1000-5000,306,651013.67
2025/1/12,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,19,43384
2025/1/12,惠居,省心租,微信APP,西安,c 1000-5000,1,3300
2025/1/12,惠居,省心租,云闪付小程序,西安,c 1000-5000,5,11094.5
2025/1/12,惠居,省心租,支付宝APP,西安,c 1000-5000,231,503256.8
2025/1/12,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,5,10153
2025/1/12,惠居,省心租,快捷,西安,c 1000-5000,8,17244
2025/1/12,惠居,省心租,微信小程序,西安,d 5000-10000,30,213423
2025/1/12,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,7128
2025/1/12,惠居,省心租,快捷,西安,d 5000-10000,2,11200
2025/1/12,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,3,17436.1
2025/1/12,惠居,省心租,支付宝APP,西安,d 5000-10000,35,240642.1
2025/1/12,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,4,23862
2025/1/13,惠居,省心租,快捷,西安,a <500,1,63
2025/1/13,惠居,省心租,支付宝APP,西安,a <500,1,462.4
2025/1/13,惠居,省心租,微信小程序,西安,a <500,4,1267.34
2025/1/13,惠居,省心租,贝易转网银转账收款,西安,a <500,4,16
2025/1/13,惠居,省心租,贝易转直联收款至银行,西安,a <500,1,300
2025/1/13,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,500
2025/1/13,惠居,省心租,微信小程序,西安,b 500-1000,7,4735.7
2025/1/13,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,865
2025/1/13,惠居,省心租,支付宝APP,西安,b 500-1000,15,10358.7
2025/1/13,惠居,省心租,快捷,西安,b 500-1000,1,500
2025/1/13,惠居,省心租,微信小程序,西安,c 1000-5000,263,553322.95
2025/1/13,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,16,37227
2025/1/13,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,13212.5
2025/1/13,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,15,30284
2025/1/13,惠居,省心租,快捷,西安,c 1000-5000,6,15215
2025/1/13,惠居,省心租,支付宝APP,西安,c 1000-5000,195,418495.06
2025/1/13,惠居,省心租,云闪付小程序,西安,c 1000-5000,6,13158
2025/1/13,惠居,省心租,微信小程序,西安,d 5000-10000,18,116696.6
2025/1/13,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,14289
2025/1/13,惠居,省心租,支付宝APP,西安,d 5000-10000,27,179646.66
2025/1/13,惠居,省心租,快捷,西安,d 5000-10000,2,15369
2025/1/13,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,2,13728
2025/1/13,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,8910
2025/1/13,惠居,省心租,支付宝APP,西安,e 10000-20000,1,10137
2025/1/13,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,1,10464
2025/1/14,惠居,省心租,微信小程序,西安,a <500,2,700
2025/1/14,惠居,省心租,贝易转网银转账收款,西安,a <500,9,283.1
2025/1/14,惠居,省心租,支付宝APP,西安,a <500,3,945
2025/1/14,惠居,省心租,支付宝APP,西安,b 500-1000,6,4042
2025/1/14,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,2,1300
2025/1/14,惠居,省心租,微信小程序,西安,b 500-1000,12,8440.16
2025/1/14,惠居,省心租,云闪付小程序,西安,b 500-1000,1,900
2025/1/14,惠居,省心租,聚分期,西安,c 1000-5000,1,2916
2025/1/14,惠居,省心租,云闪付小程序,西安,c 1000-5000,4,6743
2025/1/14,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,19,43184.8
2025/1/14,惠居,省心租,快捷,西安,c 1000-5000,4,9615.6
2025/1/14,惠居,省心租,支付宝APP,西安,c 1000-5000,231,504832.56
2025/1/14,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,22,46657.2
2025/1/14,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,9760
2025/1/14,惠居,省心租,微信小程序,西安,c 1000-5000,295,627092.51
2025/1/14,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,51457.5
2025/1/14,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,2,11931
2025/1/14,惠居,省心租,微信小程序,西安,d 5000-10000,28,196418.26
2025/1/14,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,8992.5
2025/1/14,惠居,省心租,支付宝APP,西安,d 5000-10000,23,153020.91
2025/1/14,惠居,省心租,微信小程序,西安,e 10000-20000,3,31032
2025/1/14,惠居,省心租,支付宝APP,西安,e 10000-20000,5,62289
2025/1/15,惠居,省心租,贝易转直联收款至银行,西安,a <500,1,170
2025/1/15,惠居,省心租,微信小程序,西安,a <500,2,741.33
2025/1/15,惠居,省心租,支付宝APP,西安,a <500,3,614.58
2025/1/15,惠居,省心租,贝易转网银转账收款,西安,a <500,7,19
2025/1/15,惠居,省心租,快捷,西安,b 500-1000,1,925
2025/1/15,惠居,省心租,微信小程序,西安,b 500-1000,13,8949.4
2025/1/15,惠居,省心租,云闪付小程序,西安,b 500-1000,1,710
2025/1/15,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,3,1800
2025/1/15,惠居,省心租,支付宝APP,西安,b 500-1000,21,14933.9
2025/1/15,惠居,省心租,云闪付小程序,西安,c 1000-5000,10,20217.5
2025/1/15,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,48,108967.62
2025/1/15,惠居,省心租,微信小程序,西安,c 1000-5000,457,941226.32
2025/1/15,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,13,31296
2025/1/15,惠居,省心租,支付宝APP,西安,c 1000-5000,426,903248.88
2025/1/15,惠居,省心租,聚分期,西安,c 1000-5000,1,2200
2025/1/15,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,35,75619.6
2025/1/15,惠居,省心租,快捷,西安,c 1000-5000,21,42475.1
2025/1/15,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,6,44556
2025/1/15,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,2,12750.76
2025/1/15,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,5,38599.32
2025/1/15,惠居,省心租,支付宝APP,西安,d 5000-10000,57,396205.21
2025/1/15,惠居,省心租,微信小程序,西安,d 5000-10000,35,240424
2025/1/15,惠居,省心租,微信小程序,西安,e 10000-20000,1,10692
2025/1/15,惠居,省心租,支付宝APP,西安,e 10000-20000,5,54104.76
2025/1/16,惠居,省心租,支付宝APP,西安,a <500,3,668.5
2025/1/16,惠居,省心租,支付宝花呗分期,西安,a <500,1,360.5
2025/1/16,惠居,省心租,贝易转网银转账收款,西安,a <500,6,18
2025/1/16,惠居,省心租,微信小程序,西安,a <500,5,1510
2025/1/16,惠居,省心租,支付宝APP,西安,b 500-1000,13,8857.75
2025/1/16,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,3,2098
2025/1/16,惠居,省心租,快捷,西安,b 500-1000,2,1350
2025/1/16,惠居,省心租,微信小程序,西安,b 500-1000,11,6974.67
2025/1/16,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,11844
2025/1/16,惠居,省心租,微信小程序,西安,c 1000-5000,346,711095.53
2025/1/16,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,23,52527.9
2025/1/16,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,16,40047
2025/1/16,惠居,省心租,支付宝APP,西安,c 1000-5000,279,600804.32
2025/1/16,惠居,省心租,快捷,西安,c 1000-5000,12,23984.5
2025/1/16,惠居,省心租,云闪付小程序,西安,c 1000-5000,6,11562.9
2025/1/16,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,8,64647
2025/1/16,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,5232
2025/1/16,惠居,省心租,支付宝APP,西安,d 5000-10000,31,233272.06
2025/1/16,惠居,省心租,微信小程序,西安,d 5000-10000,24,164266.46
2025/1/16,惠居,省心租,快捷,西安,d 5000-10000,1,6600
2025/1/16,惠居,省心租,支付宝APP,西安,e 10000-20000,2,22998
2025/1/16,惠居,省心租,微信小程序,西安,e 10000-20000,2,34980
